filepath,status
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_counter_clear_up_init_val_p0_ptr_width_lp64_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_scan_7_1_1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_instr_decoder_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p64_els_p5_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_round_robin_arb_inputs_p2_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_int_alu_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_instr_scan_eaddr_width_p64_instr_width_p32_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_wormhole_router_adapter_out_max_num_flit_p4_max_payload_width_p537_x_cord_width_p1_y_cord_width_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_width_p320_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_segmented_segments_p5_segment_width_p64_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p99_els_p4_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_fe_lce_data_cmd_data_width_p64_paddr_width_p22_lce_data_width_p512_num_cce_p1_num_lce_p2_sets_p64_ways_p8_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_int_alu_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p131_els_p4_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p28_els_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_lru_pseudo_tree_decode_ways_p8_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_dcache_lce_req_data_width_p64_paddr_width_p22_num_cce_p1_num_lce_p2_ways_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p38_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p99_els_p2_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_fe_bht_bht_indx_width_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_circular_ptr_slots_p2_max_add_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p99_els_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p38_els_p5_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p97_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/aes/synth_aes_rcon_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/aes/synth_aes_rcon_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/aes/synth_aes_sbox_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/aes/synth_aes_sbox_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/jpeg_lvt/synth_zigzag_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/jpeg_lvt/synth_jpeg_rle1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/jpeg_lvt/synth_jpeg_rzs_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/jpeg_lvt/synth_jpeg_rle1_area.sh,Successful
